zip,latitude,longitude
44440,41.1482,-80.78439
44441,40.75802,-80.55264
44442,40.96591,-80.54963
44443,40.92351,-80.59473
44444,41.17559,-80.97647
44445,40.84834,-80.61732
44446,41.18958,-80.74692
44449,40.97957,-81.02446
44450,41.45397,-80.82576
44451,41.08104,-80.86887
44452,40.94711,-80.66232
44454,40.9197,-80.53976
44455,40.77581,-80.60485
44460,40.90221,-80.87026
44470,41.29783,-80.95999
44471,41.04793,-80.58973
44473,41.24684,-80.66326
44481,41.22736,-80.86344
44483,41.26537,-80.81575
44484,41.2348,-80.74962
44485,41.24032,-80.848
44490,40.90041,-80.76801
44491,41.37368,-80.96478
44493,40.82192,-80.88864
44502,41.08365,-80.64253
44503,41.09918,-80.64912
44504,41.12327,-80.65363
44505,41.12735,-80.61687
44506,41.09356,-80.62583
44507,41.07436,-80.65542
44509,41.10986,-80.69655
44510,41.12246,-80.67424
44511,41.06927,-80.69617
44512,41.0249,-80.66757
44514,40.99838,-80.60868
44515,41.1029,-80.76201
44601,40.91978,-81.1278
44606,40.73313,-81.79625
44607,40.69589,-81.02685
44608,40.65241,-81.59714
44609,40.9121,-80.9879
44610,40.56078,-81.80139
44611,40.60785,-82.08141
44612,40.63488,-81.46098
44613,40.71338,-81.60026
44614,40.88689,-81.58747
44615,40.5669,-81.0739
44618,40.7722,-81.68925
44619,40.90536,-80.95381
44620,40.5811,-81.21592
44621,40.42878,-81.28955
44622,40.54883,-81.48375
44624,40.61249,-81.66157
44625,40.7623,-80.99919
44626,40.68994,-81.38404
44627,40.66665,-81.83393
44628,40.538,-82.1551
44629,40.35107,-81.44553
44630,40.92695,-81.40408
44632,40.96401,-81.3048
44633,40.63182,-81.93601
44634,40.83385,-81.04685
44637,40.47996,-82.03347
44638,40.6502,-82.13521
44639,40.45166,-81.20963
44640,40.98455,-81.14858
44641,40.86528,-81.23977
44643,40.64304,-81.2998
44644,40.68691,-81.17639
44645,40.90796,-81.71845
44646,40.81055,-81.49835
44647,40.79537,-81.56575
44651,40.6231,-80.9556
44652,40.90088,-81.33015
44653,40.43711,-81.37105
44654,40.53861,-81.87162
44656,40.57027,-81.33104
44657,40.74313,-81.09343
44659,40.6948,-81.70191
44660,40.62382,-81.77487
44661,40.5874,-82.11662
44662,40.71036,-81.55468
44663,40.46066,-81.44961
44665,40.83555,-80.98706
44666,40.84232,-81.63202
44667,40.83386,-81.76495
44669,40.79613,-81.15619
44670,40.76305,-81.18788
44671,40.64511,-81.36565
44672,40.92045,-81.02375
44675,40.50245,-81.24975
44676,40.6891,-82.03266
44677,40.87254,-81.85983
44678,40.56478,-81.36408
44680,40.60174,-81.54512
44681,40.50018,-81.6625
44682,40.39765,-81.40323
44683,40.35505,-81.3218
44685,40.9596,-81.42361
44687,40.53941,-81.71189
44688,40.68458,-81.25757
44689,40.65071,-81.66209
44690,40.61353,-81.69391
44691,40.80714,-81.97971
44693,40.2978,-81.18821
44695,40.43868,-81.1754
44697,40.60807,-81.41175
44699,40.27789,-81.28752
44702,40.79992,-81.37665
44703,40.81093,-81.38134
44704,40.80001,-81.34329
44705,40.83347,-81.3327
44706,40.75382,-81.4198
44707,40.76031,-81.34715
44708,40.81708,-81.43486
44709,40.84218,-81.38634
44710,40.78962,-81.42659
44714,40.83606,-81.35905
44718,40.85122,-81.44806
44720,40.90112,-81.43259
44721,40.89443,-81.32694
44730,40.76706,-81.25814
44802,41.04534,-83.41912
44804,41.10708,-83.53538
44805,40.87335,-82.32096
44807,41.06508,-82.87533
44809,41.13215,-83.29391
44811,41.24445,-82.84474
44813,40.60135,-82.52814
44814,41.32162,-82.4714
44815,41.24697,-83.23947
44817,41.1987,-83.54676
44818,41.0002,-82.99645
44820,40.81829,-82.97186
44822,40.55705,-82.39929
44824,41.37952,-82.80422
44825,40.95443,-82.94194
44826,41.23993,-82.47931
44827,40.81921,-82.75923
44828,41.23367,-82.85957
44830,41.16603,-83.40081
44833,40.71059,-82.79484
44836,41.23772,-83.05455
44837,41.01745,-82.48241
44838,40.77186,-82.25947
44839,41.3725,-82.55656
44840,40.79231,-82.17973
44841,41.25126,-83.31139
44842,40.64903,-82.22498
44843,40.6886,-82.40959
44844,40.9926,-83.25839
44846,41.31589,-82.60832
44847,41.23025,-82.70821
44849,40.80863,-83.13186
44850,41.03539,-82.68403
44851,41.10577,-82.40166
44853,41.05501,-83.30399
44854,40.94723,-82.85748
44855,41.10414,-82.58664
44856,40.79398,-82.85627
44857,41.21785,-82.58212
44859,41.02103,-82.32636
44861,41.24254,-83.14626
44864,40.66748,-82.31871
44865,40.99165,-82.68168
44866,40.92082,-82.19483
44867,41.14755,-82.98963
44870,41.40623,-82.7171
44874,40.96859,-82.36631
44875,40.88645,-82.6489
44878,40.95111,-82.51963
44880,41.03352,-82.21993
44881,40.8703,-82.87687
44882,40.94759,-83.13734
44883,41.12395,-83.17459
44887,40.9205,-82.788
44889,41.24661,-82.38195
44890,41.0818,-82.71248
44901,40.76391,-82.51247
44902,40.7589,-82.51095
44903,40.77624,-82.52655
44904,40.66578,-82.61505
44905,40.77753,-82.46915
44906,40.76413,-82.57778
44907,40.72761,-82.52129
45001,39.13713,-84.71045
45002,39.19871,-84.73422
45003,39.58427,-84.77942
45005,39.53478,-84.3018
45011,39.42892,-84.50173
45013,39.40649,-84.6501
45014,39.32822,-84.5521
45015,39.36273,-84.53785
45030,39.25621,-84.76287
45032,39.50268,-84.00811
45033,39.17962,-84.76469
45034,39.35749,-84.24687
45036,39.44487,-84.21832
45039,39.32655,-84.23586
45040,39.35023,-84.30996
45041,39.21114,-84.70292
45042,39.54867,-84.43755
45044,39.45028,-84.37988
45050,39.44437,-84.36594
45052,39.14505,-84.77849
45053,39.35273,-84.78053
45054,39.43844,-84.07418
45055,39.45701,-84.51094
45056,39.49029,-84.74115
45062,39.48501,-84.55371
45064,39.56806,-84.59785
45065,39.37016,-84.21426
45066,39.54925,-84.22265
45067,39.49017,-84.47948
45068,39.52813,-84.05922
45069,39.34213,-84.4105
45070,39.58968,-84.55804
45101,38.69164,-83.74024
45102,39.01718,-84.20602
45103,39.0946,-84.14006
45105,38.75015,-83.61235
45106,38.94633,-84.06831
45107,39.28888,-83.96967
45111,39.20033,-84.28746
45112,38.79377,-84.14144
45113,39.39991,-83.98561
45115,38.80818,-83.70728
45118,39.17192,-83.93107
45119,38.8781,-83.99927
45120,38.82597,-84.09301
45121,38.86769,-83.90911
45122,39.22411,-84.12698
45123,39.3487,-83.38866
45130,38.90886,-83.99897
45131,38.78997,-83.96729
45132,39.34395,-83.5996
45133,39.15695,-83.57282
45135,39.35124,-83.54859
45140,39.25603,-84.24433
45142,39.21033,-83.80553
45144,38.70534,-83.6142
45146,39.3154,-83.79945
45147,39.21114,-84.30192
45148,39.28849,-83.88466
45150,39.16567,-84.23281
45152,39.35005,-84.12316
45153,38.86977,-84.18474
45154,39.06137,-83.91997
45155,39.04057,-83.75181
45156,38.80947,-84.21348
45157,38.95599,-84.22824
45158,39.18229,-84.07769
45159,39.33389,-83.68972
45160,39.12358,-84.13725
45162,39.26913,-84.07851
45164,39.55365,-83.78532
45166,39.4766,-83.68774
45167,38.77234,-83.79943
45168,38.85266,-83.76783
45169,39.505,-83.65035
45171,39.01414,-83.7962
45172,39.07447,-83.38688
45174,39.1588,-84.31073
45176,39.08438,-84.02205
45177,39.46123,-83.83692
45202,39.10885,-84.50243
45203,39.10403,-84.53337
45204,39.09536,-84.57225
45205,39.11057,-84.57518
45206,39.12736,-84.48451
45207,39.14199,-84.4713
45208,39.13522,-84.43393
45209,39.15336,-84.42762
45211,39.15746,-84.59888
45212,39.16403,-84.45173
45213,39.18111,-84.42006
45214,39.12271,-84.54442
45215,39.23536,-84.46221
45216,39.20054,-84.48114
45217,39.16718,-84.49792
45218,39.26623,-84.51975
45219,39.12668,-84.51201
45220,39.14736,-84.52101
45223,39.1696,-84.55354
45224,39.20215,-84.53222
45225,39.14341,-84.55267
45226,39.11149,-84.41989
45227,39.15403,-84.38524
45229,39.15342,-84.48612
45230,39.07445,-84.39082
45231,39.24617,-84.5383
45232,39.1818,-84.51673
45233,39.1191,-84.66559
45236,39.20949,-84.39701
45237,39.19298,-84.45244
45238,39.10927,-84.61053
45239,39.20439,-84.57979
45240,39.28434,-84.52605
45241,39.27659,-84.40175
45242,39.24348,-84.35621
45243,39.18381,-84.34171
45244,39.12009,-84.32764
45245,39.06065,-84.27748
45246,39.2906,-84.46612
45247,39.22048,-84.65172
45248,39.16442,-84.66229
45249,39.27617,-84.32777
45251,39.26789,-84.59422
45252,39.27352,-84.63214
45255,39.05862,-84.32675
45301,39.71098,-84.02301
45302,40.40068,-84.20756
45303,40.2146,-84.65627
45304,39.98756,-84.53145
45305,39.63628,-84.07769
45306,40.45856,-84.18575
45307,39.58065,-83.72347
45308,40.12535,-84.45699
45309,39.84475,-84.42204
45310,40.35299,-84.64264
45311,39.62791,-84.66411
45312,40.06028,-84.07976
45314,39.74608,-83.77363
45315,39.85772,-84.33875
45316,39.79754,-83.82517
45317,40.17328,-84.01971
45318,40.12745,-84.35391
45319,39.91608,-83.94324
45320,39.74673,-84.68932
45321,39.87134,-84.67775
45322,39.89967,-84.33206
45323,39.85131,-83.92794
45324,39.81986,-84.00026
45325,39.69297,-84.4269
45326,40.14201,-84.09039
45327,39.63286,-84.39841
45328,40.11621,-84.49676
45330,39.64821,-84.5282
45331,40.09729,-84.64616
45332,39.99967,-84.78776
45333,40.2481,-84.33209
45334,40.44662,-84.04517
45335,39.63079,-83.73353
45336,40.44256,-84.25988
45337,39.98019,-84.42095
45338,39.85147,-84.54417
45339,40.00826,-84.34315
45340,40.37184,-84.04935
45341,39.87589,-84.02045
45342,39.62943,-84.27545
45344,39.95567,-84.00734
45345,39.7392,-84.39926
45346,39.97934,-84.70911
45347,39.88378,-84.76208
45348,40.32663,-84.65404
45349,39.98916,-83.94052
45350,40.32472,-84.57359
45351,40.33954,-84.49574
45352,40.05006,-84.74432
45353,40.29252,-84.04274
45354,39.91033,-84.39983
45356,40.16252,-84.23097
45358,39.98724,-84.48796
45359,40.05067,-84.3511
45360,40.33028,-84.09206
45361,39.96374,-84.41484
45362,40.28684,-84.63368
45363,40.23925,-84.39841
45365,40.2828,-84.15582
45368,39.84376,-83.65413
45369,39.95304,-83.60304
45370,39.60853,-84.04015
45371,39.93885,-84.16357
45372,40.01471,-83.83862
45373,40.03353,-84.19588
45377,39.89636,-84.22774
45378,39.90291,-84.48781
45380,40.24511,-84.51314
45381,39.73223,-84.52433
45382,39.89621,-84.61626
45383,39.9572,-84.3337
45384,39.71444,-83.88638
45385,39.66813,-83.91457
45387,39.79754,-83.88622
45388,40.32799,-84.47901
45389,40.05639,-84.02532
45390,40.21894,-84.76778
45402,39.75983,-84.20751
45403,39.76303,-84.14978
45404,39.79011,-84.15324
